VBELN,LFART,ERDAT,LFDAT,WADAT_IST
80000714,LF,2025-07-12,2025-07-20,2025-07-20
80000715,LF,2025-07-06,2025-07-10,2025-07-10
80000716,LF,2025-07-08,2025-07-15,2025-07-15
80000717,LF,2025-07-07,2025-07-12,2025-07-15
80000718,LF,2025-07-14,2025-07-18,2025-07-17
80000719,LF,2025-07-07,2025-07-12,2025-07-16
80000720,LF,2025-07-14,2025-07-22,2025-07-22
80000721,LF,2025-07-07,2025-07-11,2025-07-10
80000722,LF,2025-07-09,2025-07-15,2025-07-15
80000723,LF,2025-07-07,2025-07-14,2025-07-12
80000724,LR,2025-07-05,2025-07-14,2025-07-17
80000725,LF,2025-07-02,2025-07-05,2025-07-09
80000726,LF,2025-07-03,2025-07-11,2025-07-16
80000727,LF,2025-07-05,2025-07-13,2025-07-13
80000728,LF,2025-07-09,2025-07-17,2025-07-15
80000729,LF,2025-07-14,2025-07-18,2025-07-18
80000730,LF,2025-07-11,2025-07-17,2025-07-15
80000731,LF,2025-07-10,2025-07-13,2025-07-13
80000732,LF,2025-07-15,2025-07-19,2025-07-19
80000733,LF,2025-07-11,2025-07-17,2025-07-16
80000734,LF,2025-07-14,2025-07-23,2025-07-26
80000735,LF,2025-07-01,2025-07-06,2025-07-06
80000736,LF,2025-07-12,2025-07-17,2025-07-16
80000737,LF,2025-07-02,2025-07-08,2025-07-10
80000738,LF,2025-07-05,2025-07-12,2025-07-11
80000739,LF,2025-07-12,2025-07-15,2025-07-15
80000740,LF,2025-07-01,2025-07-10,2025-07-08
80000741,LF,2025-07-10,2025-07-16,2025-07-15
80000742,LF,2025-07-11,2025-07-19,2025-07-17
80000743,LF,2025-07-12,2025-07-15,2025-07-14
80000744,LF,2025-07-05,2025-07-15,2025-07-13
80000745,LF,2025-07-07,2025-07-15,2025-07-13
80000746,LF,2025-07-03,2025-07-11,2025-07-09
80000747,LF,2025-07-13,2025-07-20,2025-07-19
80000748,LF,2025-07-01,2025-07-11,2025-07-14
80000749,LF,2025-07-09,2025-07-19,2025-07-19
80000750,LF,2025-07-13,2025-07-22,2025-07-21
80000751,LF,2025-07-14,2025-07-18,2025-07-18
80000752,LF,2025-07-01,2025-07-10,2025-07-09
80000753,LF,2025-07-14,2025-07-23,2025-07-23
80000754,LF,2025-07-15,2025-07-21,2025-07-28
80000755,LF,2025-07-10,2025-07-20,2025-07-18
80000756,LF,2025-07-13,2025-07-16,2025-07-17
80000757,LF,2025-07-01,2025-07-07,2025-07-05
80000758,LF,2025-07-13,2025-07-16,2025-07-15
80000759,LF,2025-07-01,2025-07-05,2025-07-04
80000760,LF,2025-07-04,2025-07-07,2025-07-05
80000761,LR,2025-07-04,2025-07-10,2025-07-08
80000762,LF,2025-07-07,2025-07-16,2025-07-15
80000763,LF,2025-07-09,2025-07-12,2025-07-12
80000764,LF,2025-07-01,2025-07-09,2025-07-14
80000765,LF,2025-07-14,2025-07-17,2025-07-17
80000766,LF,2025-07-09,2025-07-18,2025-07-18
80000767,LF,2025-07-10,2025-07-15,2025-07-14
80000768,LF,2025-07-03,2025-07-10,2025-07-08
80000769,LF,2025-07-03,2025-07-10,2025-07-17
80000770,LF,2025-07-12,2025-07-20,2025-07-20
80000771,LF,2025-07-10,2025-07-17,2025-07-16
80000772,LF,2025-07-07,2025-07-17,2025-07-17
80000773,LF,2025-07-07,2025-07-10,2025-07-13
