VBELN,POSNR,VGBEL,VGPOS,MATNR,WERKS,LGORT,LFIMG,MEINS
80000714,000010,45000801,000010,100021,2000,0001,69,EA
80000714,000020,45000801,000020,100009,3000,0001,61,EA
80000715,000010,45000802,000010,100045,1010,0001,16,EA
80000716,000010,45000803,000010,100003,1000,0001,35,EA
80000717,000010,45000804,000010,100045,2000,0001,83,EA
80000717,000020,45000804,000020,100005,2010,0002,91,EA
80000718,000010,45000805,000010,100010,2000,0002,29,EA
80000718,000020,45000805,000020,100001,3010,0001,27,EA
80000719,000010,45000806,000010,100041,1010,0002,37,EA
80000719,000020,45000806,000020,100037,3010,0002,57,EA
80000720,000010,45000807,000010,100047,2010,0001,57,EA
80000720,000020,45000807,000020,100020,3010,0002,71,EA
80000721,000010,45000808,000010,100036,3000,0002,36,EA
80000721,000020,45000808,000020,100047,2010,0001,67,EA
80000722,000010,45000809,000010,100005,1010,0001,79,EA
80000722,000020,45000809,000020,100045,3010,0002,93,EA
80000722,000030,45000809,000030,100010,3000,0001,96,EA
80000723,000010,45000810,000010,100042,1000,0001,82,EA
80000724,000010,45000811,000010,100006,3010,0001,30,EA
80000724,000020,45000811,000020,100013,1010,0001,79,EA
80000724,000030,45000811,000030,100047,3000,0002,8,EA
80000725,000010,45000812,000010,100011,2010,0001,60,EA
80000725,000020,45000812,000020,100027,2000,0002,9,EA
80000726,000010,45000813,000010,100030,2010,0001,89,EA
80000726,000020,45000813,000020,100018,2010,0001,18,EA
80000727,000010,45000814,000010,100021,2000,0002,43,EA
80000728,000010,45000815,000010,100007,2010,0002,90,EA
80000728,000020,45000815,000020,100029,2000,0002,40,EA
80000729,000010,45000816,000010,100016,2010,0002,13,EA
80000730,000010,45000817,000010,100020,2010,0001,31,EA
80000730,000020,45000817,000020,100038,2000,0001,68,EA
80000731,000010,45000818,000010,100004,1010,0002,39,EA
80000731,000020,45000818,000020,100009,1010,0002,28,EA
80000731,000030,45000818,000030,100009,1010,0001,89,EA
80000732,000010,45000819,000010,100038,3000,0002,92,EA
80000732,000020,45000819,000020,100046,1010,0002,34,EA
80000732,000030,45000819,000030,100032,2010,0002,68,EA
80000733,000010,45000820,000010,100017,1000,0002,96,EA
80000734,000010,45000821,000010,100024,1010,0001,14,EA
80000734,000020,45000821,000020,100028,2000,0002,65,EA
80000734,000030,45000821,000030,100049,2000,0001,13,EA
80000735,000010,45000822,000010,100037,3010,0001,43,EA
80000736,000010,45000823,000010,100004,2010,0001,74,EA
80000736,000020,45000823,000020,100029,3010,0002,59,EA
80000737,000010,45000824,000010,100031,3000,0001,83,EA
80000737,000020,45000824,000020,100007,1000,0002,87,EA
80000737,000030,45000824,000030,100046,2010,0002,62,EA
80000738,000010,45000825,000010,100019,1000,0001,86,EA
80000739,000010,45000826,000010,100014,2010,0001,90,EA
80000739,000020,45000826,000020,100006,3010,0001,87,EA
80000739,000030,45000826,000030,100035,2010,0002,62,EA
80000740,000010,45000827,000010,100012,2000,0002,1,EA
80000741,000010,45000828,000010,100017,2000,0001,5,EA
80000742,000010,45000829,000010,100036,2000,0002,24,EA
80000743,000010,45000830,000010,100041,2000,0001,21,EA
80000744,000010,45000831,000010,100008,2010,0002,60,EA
80000744,000020,45000831,000020,100004,1000,0001,82,EA
80000745,000010,45000832,000010,100006,1010,0002,13,EA
80000745,000020,45000832,000020,100013,3000,0001,28,EA
80000745,000030,45000832,000030,100016,1000,0002,100,EA
80000746,000010,45000833,000010,100003,1000,0001,13,EA
80000746,000020,45000833,000020,100020,1000,0001,10,EA
80000747,000010,45000834,000010,100033,3010,0001,85,EA
80000747,000020,45000834,000020,100044,1010,0002,34,EA
80000747,000030,45000834,000030,100018,2010,0001,78,EA
80000748,000010,45000835,000010,100011,3010,0001,54,EA
80000749,000010,45000836,000010,100032,3000,0002,53,EA
80000749,000020,45000836,000020,100041,3010,0001,53,EA
80000750,000010,45000837,000010,100022,2010,0001,40,EA
80000750,000020,45000837,000020,100038,3010,0002,27,EA
80000750,000030,45000837,000030,100029,2010,0002,82,EA
80000751,000010,45000838,000010,100002,3000,0002,20,EA
80000751,000020,45000838,000020,100029,1000,0002,75,EA
80000752,000010,45000839,000010,100050,1000,0001,10,EA
80000753,000010,45000840,000010,100005,2010,0002,9,EA
80000753,000020,45000840,000020,100008,1000,0001,81,EA
80000754,000010,45000841,000010,100045,3010,0001,65,EA
80000754,000020,45000841,000020,100034,2010,0001,30,EA
80000755,000010,45000842,000010,100049,1000,0001,31,EA
80000755,000020,45000842,000020,100021,2000,0002,14,EA
80000756,000010,45000843,000010,100006,1010,0001,2,EA
80000756,000020,45000843,000020,100034,3000,0002,10,EA
80000757,000010,45000844,000010,100008,2010,0001,5,EA
80000757,000020,45000844,000020,100044,1000,0002,26,EA
80000757,000030,45000844,000030,100048,3010,0002,14,EA
80000758,000010,45000845,000010,100036,2010,0002,66,EA
80000758,000020,45000845,000020,100002,2000,0001,46,EA
80000758,000030,45000845,000030,100038,2000,0001,48,EA
80000759,000010,45000846,000010,100043,2010,0001,70,EA
80000759,000020,45000846,000020,100002,2010,0001,69,EA
80000760,000010,45000847,000010,100006,1000,0001,79,EA
80000760,000020,45000847,000020,100001,1000,0002,3,EA
80000760,000030,45000847,000030,100028,2000,0001,33,EA
80000761,000010,45000848,000010,100020,1000,0002,46,EA
80000761,000020,45000848,000020,100029,2000,0001,5,EA
80000761,000030,45000848,000030,100008,3010,0002,51,EA
80000762,000010,45000849,000010,100018,2000,0001,8,EA
80000762,000020,45000849,000020,100023,1000,0002,60,EA
80000763,000010,45000850,000010,100035,1000,0002,54,EA
80000764,000010,45000851,000010,100024,3000,0002,58,EA
80000764,000020,45000851,000020,100019,1000,0002,64,EA
80000765,000010,45000852,000010,100033,1010,0001,14,EA
80000765,000020,45000852,000020,100029,2010,0001,56,EA
80000766,000010,45000853,000010,100012,1010,0001,51,EA
80000766,000020,45000853,000020,100039,3010,0001,35,EA
80000767,000010,45000854,000010,100032,3010,0001,53,EA
80000767,000020,45000854,000020,100007,2000,0001,42,EA
80000768,000010,45000855,000010,100007,3000,0001,41,EA
80000768,000020,45000855,000020,100033,3010,0001,57,EA
80000769,000010,45000856,000010,100031,3010,0002,33,EA
80000769,000020,45000856,000020,100050,3010,0002,50,EA
80000769,000030,45000856,000030,100050,2010,0002,5,EA
80000770,000010,45000857,000010,100041,1000,0002,22,EA
80000771,000010,45000858,000010,100013,3010,0001,45,EA
80000771,000020,45000858,000020,100040,3010,0002,41,EA
80000772,000010,45000859,000010,100034,3000,0002,66,EA
80000773,000010,45000860,000010,100027,3000,0001,1,EA
80000773,000020,45000860,000020,100018,3010,0002,32,EA
