VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART
45000801,2025-07-12,TA,0001018,1000,10,00
45000802,2025-07-06,RE,0001012,1000,10,00
45000803,2025-07-08,TA,0001077,1000,10,00
45000804,2025-07-07,TA,0001073,1000,10,00
45000805,2025-07-14,TA,0001070,1000,10,00
45000806,2025-07-07,TA,0001050,1000,10,00
45000807,2025-07-14,TA,0001013,1000,10,00
45000808,2025-07-07,TA,0001019,1000,10,00
45000809,2025-07-09,TA,0001063,1000,10,00
45000810,2025-07-07,TA,0001076,1000,10,00
45000811,2025-07-05,RE,0001073,1000,10,00
45000812,2025-07-02,TA,0001006,1000,10,00
45000813,2025-07-03,TA,0001007,1000,10,00
45000814,2025-07-05,TA,0001035,1000,10,00
45000815,2025-07-09,TA,0001079,1000,10,00
45000816,2025-07-14,TA,0001074,1000,10,00
45000817,2025-07-11,TA,0001007,1000,10,00
45000818,2025-07-10,TA,0001058,1000,10,00
45000819,2025-07-15,TA,0001042,1000,10,00
45000820,2025-07-11,TA,0001056,1000,10,00
45000821,2025-07-14,TA,0001010,1000,10,00
45000822,2025-07-01,TA,0001075,1000,10,00
45000823,2025-07-12,TA,0001023,1000,10,00
45000824,2025-07-02,TA,0001070,1000,10,00
45000825,2025-07-05,TA,0001063,1000,10,00
45000826,2025-07-12,TA,0001046,1000,10,00
45000827,2025-07-01,TA,0001060,1000,10,00
45000828,2025-07-10,RE,0001010,1000,10,00
45000829,2025-07-11,TA,0001011,1000,10,00
45000830,2025-07-12,TA,0001019,1000,10,00
45000831,2025-07-05,TA,0001013,1000,10,00
45000832,2025-07-07,TA,0001056,1000,10,00
45000833,2025-07-03,TA,0001000,1000,10,00
45000834,2025-07-13,TA,0001015,1000,10,00
45000835,2025-07-01,TA,0001043,1000,10,00
45000836,2025-07-09,TA,0001063,1000,10,00
45000837,2025-07-13,TA,0001058,1000,10,00
45000838,2025-07-14,TA,0001049,1000,10,00
45000839,2025-07-01,TA,0001011,1000,10,00
45000840,2025-07-14,TA,0001051,1000,10,00
45000841,2025-07-15,TA,0001073,1000,10,00
45000842,2025-07-10,TA,0001075,1000,10,00
45000843,2025-07-13,TA,0001041,1000,10,00
45000844,2025-07-01,TA,0001023,1000,10,00
45000845,2025-07-13,TA,0001024,1000,10,00
45000846,2025-07-01,TA,0001029,1000,10,00
45000847,2025-07-04,RE,0001044,1000,10,00
45000848,2025-07-04,TA,0001049,1000,10,00
45000849,2025-07-07,TA,0001028,1000,10,00
45000850,2025-07-09,TA,0001007,1000,10,00
45000851,2025-07-01,TA,0001069,1000,10,00
45000852,2025-07-14,TA,0001065,1000,10,00
45000853,2025-07-09,TA,0001064,1000,10,00
45000854,2025-07-10,RE,0001044,1000,10,00
45000855,2025-07-03,TA,0001057,1000,10,00
45000856,2025-07-03,TA,0001031,1000,10,00
45000857,2025-07-12,TA,0001028,1000,10,00
45000858,2025-07-10,TA,0001053,1000,10,00
45000859,2025-07-07,TA,0001013,1000,10,00
45000860,2025-07-07,TA,0001014,1000,10,00
