VBELN,POSNR,MATNR,WERKS,KWMENG,MEINS
45000801,000010,100021,2000,69,EA
45000801,000020,100009,3000,74,EA
45000802,000010,100045,1010,26,EA
45000803,000010,100003,1000,35,EA
45000804,000010,100045,2000,83,EA
45000804,000020,100005,2010,91,EA
45000805,000010,100010,2000,29,EA
45000805,000020,100001,3010,27,EA
45000806,000010,100041,1010,37,EA
45000806,000020,100037,3010,57,EA
45000807,000010,100047,2010,57,EA
45000807,000020,100020,3010,71,EA
45000808,000010,100036,3000,55,EA
45000808,000020,100047,2010,67,EA
45000809,000010,100005,1010,79,EA
45000809,000020,100045,3010,93,EA
45000809,000030,100010,3000,96,EA
45000810,000010,100042,1000,82,EA
45000811,000010,100006,3010,30,EA
45000811,000020,100013,1010,79,EA
45000811,000030,100047,3000,8,EA
45000812,000010,100011,2010,60,EA
45000812,000020,100027,2000,9,EA
45000813,000010,100030,2010,89,EA
45000813,000020,100018,2010,18,EA
45000814,000010,100021,2000,43,EA
45000815,000010,100007,2010,90,EA
45000815,000020,100029,2000,40,EA
45000816,000010,100016,2010,24,EA
45000817,000010,100020,2010,31,EA
45000817,000020,100038,2000,68,EA
45000818,000010,100004,1010,39,EA
45000818,000020,100009,1010,28,EA
45000818,000030,100009,1010,89,EA
45000819,000010,100038,3000,92,EA
45000819,000020,100046,1010,34,EA
45000819,000030,100032,2010,68,EA
45000820,000010,100017,1000,96,EA
45000821,000010,100024,1010,14,EA
45000821,000020,100028,2000,65,EA
45000821,000030,100049,2000,13,EA
45000822,000010,100037,3010,67,EA
45000823,000010,100004,2010,74,EA
45000823,000020,100029,3010,59,EA
45000824,000010,100031,3000,83,EA
45000824,000020,100007,1000,87,EA
45000824,000030,100046,2010,62,EA
45000825,000010,100019,1000,86,EA
45000826,000010,100014,2010,90,EA
45000826,000020,100006,3010,87,EA
45000826,000030,100035,2010,62,EA
45000827,000010,100012,2000,1,EA
45000828,000010,100017,2000,6,EA
45000829,000010,100036,2000,24,EA
45000830,000010,100041,2000,27,EA
45000831,000010,100008,2010,60,EA
45000831,000020,100004,1000,82,EA
45000832,000010,100006,1010,14,EA
45000832,000020,100013,3000,28,EA
45000832,000030,100016,1000,100,EA
45000833,000010,100003,1000,13,EA
45000833,000020,100020,1000,10,EA
45000834,000010,100033,3010,85,EA
45000834,000020,100044,1010,34,EA
45000834,000030,100018,2010,78,EA
45000835,000010,100011,3010,92,EA
45000836,000010,100032,3000,53,EA
45000836,000020,100041,3010,53,EA
45000837,000010,100022,2010,48,EA
45000837,000020,100038,3010,27,EA
45000837,000030,100029,2010,82,EA
45000838,000010,100002,3000,20,EA
45000838,000020,100029,1000,75,EA
45000839,000010,100050,1000,10,EA
45000840,000010,100005,2010,14,EA
45000840,000020,100008,1000,81,EA
45000841,000010,100045,3010,65,EA
45000841,000020,100034,2010,30,EA
45000842,000010,100049,1000,31,EA
45000842,000020,100021,2000,14,EA
45000843,000010,100006,1010,2,EA
45000843,000020,100034,3000,10,EA
45000844,000010,100008,2010,5,EA
45000844,000020,100044,1000,26,EA
45000844,000030,100048,3010,14,EA
45000845,000010,100036,2010,66,EA
45000845,000020,100002,2000,90,EA
45000845,000030,100038,2000,48,EA
45000846,000010,100043,2010,70,EA
45000846,000020,100002,2010,93,EA
45000847,000010,100006,1000,79,EA
45000847,000020,100001,1000,3,EA
45000847,000030,100028,2000,33,EA
45000848,000010,100020,1000,46,EA
45000848,000020,100029,2000,5,EA
45000848,000030,100008,3010,51,EA
45000849,000010,100018,2000,11,EA
45000849,000020,100023,1000,95,EA
45000850,000010,100035,1000,54,EA
45000851,000010,100024,3000,58,EA
45000851,000020,100019,1000,64,EA
45000852,000010,100033,1010,14,EA
45000852,000020,100029,2010,56,EA
45000853,000010,100012,1010,86,EA
45000853,000020,100039,3010,35,EA
45000854,000010,100032,3010,53,EA
45000854,000020,100007,2000,42,EA
45000855,000010,100007,3000,66,EA
45000855,000020,100033,3010,57,EA
45000856,000010,100031,3010,33,EA
45000856,000020,100050,3010,50,EA
45000856,000030,100050,2010,5,EA
45000857,000010,100041,1000,22,EA
45000858,000010,100013,3010,45,EA
45000858,000020,100040,3010,41,EA
45000859,000010,100034,3000,66,EA
45000860,000010,100027,3000,1,EA
45000860,000020,100018,3010,32,EA
